galaxy_id,morph_type,Q,incl_deg,dist_Mpc,R_disc_kpc,R_last_kpc,R_out_kpc,N_outer,mean_Sigma_bar_outer,stratum,epsilon_umm,epsilon_baryon,epsilon_nfw,A_global,Upsilon_star,gas_source,notes
D631-7,Im,1,59.0,7.72,0.7,7.19,5.168,5,1.8798153584327828,low,0.07807713337061947,0.6604644040097816,0.013528869511565862,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=3.162e+10;coverage=10.27
DDO064,Im,1,60.0,6.8,0.69,2.98,2.116,3,7.121648399128957,high,0.17980944303317312,0.4708773604888008,0.016769071666860605,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.585e+10;coverage=4.32
DDO161,Im,1,70.0,7.5,1.22,13.37,9.538999999999998,9,3.194098267214236,intermediate,0.42244033443190865,0.5062230842954144,0.019256629942041456,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=3.193e+10;coverage=10.96
ESO079-G014,Sbc,1,79.0,28.7,5.08,16.67,11.792,3,12.027431940545478,high,0.06529913385029489,0.440391887119075,0.0034271608574952986,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.122e+12;coverage=3.28
ESO116-G012,Sd,1,74.0,13.0,1.51,9.86,6.976999999999999,4,5.2721337654572515,high,0.10824074162793962,0.5587470243332243,0.006934186357670621,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=3.162e+11;coverage=6.53
ESO563-G021,Sbc,1,83.0,60.8,5.45,42.41,29.821999999999992,8,4.3151838685613155,intermediate,0.2656786589386436,0.49727606599802987,0.011745897764217385,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=7.943e+12;coverage=7.78
F568-3,Sd,1,40.0,82.4,4.99,17.98,12.778,3,4.564861009282959,intermediate,0.0825784106049422,0.5484937543121512,0.03697257482209194,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=2.239e+11;coverage=3.60
F568-V1,Sd,1,40.0,80.6,2.85,17.63,12.457999999999998,1,2.7248085219837077,low,0.021884829186650204,0.6358270261290415,0.0037219133451224583,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=2.818e+11;coverage=6.19
F571-8,Sc,1,85.0,53.3,3.56,15.55,10.951,2,0.8259948002452536,low,0.4215517577819641,0.6907677645823287,0.017746553525800814,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=8.913e+11;coverage=4.37
F574-1,Sd,1,65.0,96.8,4.46,12.6,8.960999999999999,4,4.625078785747811,high,0.058774535135945105,0.5533394410810326,0.010933230700848494,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.585e+11;coverage=2.83
F583-1,Sm,1,63.0,35.4,2.36,16.26,11.459999999999999,2,3.6285446639001537,intermediate,0.33523786723788773,0.5213733177189512,0.006934342484426501,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=7.943e+10;coverage=6.89
