galaxy_id,morph_type,Q,incl_deg,dist_Mpc,R_disc_kpc,R_last_kpc,R_out_kpc,N_outer,mean_Sigma_bar_outer,stratum,epsilon_umm,epsilon_baryon,epsilon_nfw,A_global,Upsilon_star,gas_source,notes
D631-7,Im,1,59.0,7.72,0.7,7.19,5.168,5,1.881815358432783,low,0.028321229412176203,0.6479558388384066,0.011770222145586661,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.818e+10;coverage=10.27
DDO064,Im,1,60.0,6.8,0.69,2.98,2.116,3,7.389648399128956,high,0.14677100418736108,0.4426300450826508,0.014774682789655644,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.413e+10;coverage=4.32
DDO161,Im,1,70.0,7.5,1.22,13.37,9.538999999999998,9,3.1954316005475696,intermediate,0.35655960679682513,0.4961032937031516,0.018129812295367267,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=3.162e+10;coverage=10.96
ESO079-G014,Sbc,1,79.0,28.7,5.08,16.67,11.792,3,15.360098607212143,high,0.017943606395459843,0.35257485732112714,0.005891763504299232,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=7.787e+11;coverage=3.28
ESO116-G012,Sd,1,74.0,13.0,1.51,9.86,6.976999999999999,4,5.470633765457252,high,0.11768297030833882,0.5143461238307632,0.004600161088646289,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.818e+11;coverage=6.53
ESO563-G021,Sbc,1,83.0,60.8,5.45,42.41,29.821999999999992,8,4.636433868561316,intermediate,0.2240686623936809,0.41720071099846556,0.0161195349050001,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=6.310e+12;coverage=7.78
F568-3,Sd,1,40.0,82.4,4.99,17.98,12.778,3,5.043527675949626,high,0.06714845350692468,0.5087811439477656,0.03973338950993146,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.995e+11;coverage=3.60
F568-V1,Sd,1,40.0,80.6,2.85,17.63,12.457999999999998,1,2.7248085219837077,low,0.06040083695042419,0.614801377171446,0.004154395538704233,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.818e+11;coverage=6.19
F571-8,Sc,1,85.0,53.3,3.56,15.55,10.951,2,1.0029948002452536,low,0.4038957023747392,0.6377517603296097,0.012264878856993237,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=7.943e+11;coverage=4.37
F574-1,Sd,1,65.0,96.8,4.46,12.6,8.960999999999999,4,5.572078785747811,high,0.06527583068202997,0.49887279771152004,0.011542867640033615,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.413e+11;coverage=2.83
F583-1,Sm,1,63.0,35.4,2.36,16.26,11.459999999999999,2,3.6285446639001537,intermediate,0.2735963413209139,0.5129281396593683,0.0067975047586843335,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=7.943e+10;coverage=6.89
F583-4,Sc,1,55.0,53.3,1.93,7.29,5.169,4,2.82158694680813,intermediate,0.10101610128897054,0.4714047953534519,0.031037217748552608,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=3.162e+10;coverage=3.78
IC4202,Sbc,1,90.0,100.4,4.78,25.9,18.360999999999997,8,13.524817120295399,high,0.03604467006068759,0.2718083739862687,0.019391184828141866,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.413e+12;coverage=5.42
NGC0024,Sc,1,64.0,7.3,1.34,11.27,7.951999999999998,3,2.1454090958713485,low,0.23191373435246065,0.6042322995950022,0.005881369235897327,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.818e+11;coverage=8.41
NGC0100,Scd,1,89.0,13.5,1.66,9.62,6.802999999999999,7,2.58777863886482,low,0.08279093139969947,0.5317307074025938,0.021471942424018925,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.000e+11;coverage=5.80
NGC0801,Sc,1,80.0,80.7,8.72,59.82,42.225,3,3.4309141238322076,intermediate,0.11276561333999179,0.27816737022562954,0.023729755540759595,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=7.079e+11;coverage=6.86
NGC0891,Sb,1,90.0,9.91,2.55,17.11,12.252999999999998,6,10.456381047147723,high,0.0256142371229548,0.14922903087114905,0.014066631199004781,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=3.162e+11;coverage=6.71
NGC1003,Scd,1,67.0,11.4,1.61,30.24,21.543,11,1.2025986900082428,low,0.04685719805189334,0.6324638903424441,0.019206059194456497,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.239e+11;coverage=18.78
NGC1090,Sbc,1,64.0,37.0,3.53,30.09,21.168,8,3.866499719591968,intermediate,0.04492945448511919,0.3306674003596919,0.006911718110179327,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=3.548e+11;coverage=8.52
NGC2403,Scd,1,63.0,3.16,1.39,20.87,14.657,13,3.776223421350165,intermediate,0.08275351437427132,0.5575409435031367,0.007084122312944103,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=3.981e+11;coverage=15.01
NGC2841,Sb,1,76.0,14.1,3.64,63.64,45.58,9,2.7946019868595,intermediate,0.23962828328687408,0.5750058957735164,0.010732269249043556,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=4.467e+12;coverage=17.48
NGC2903,Sbc,1,66.0,6.6,2.33,24.96,17.567999999999998,8,1.776034329821082,low,0.1618723895807575,0.3792672574512223,0.010294322951067345,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=7.079e+11;coverage=10.71
NGC2998,Sc,1,58.0,68.1,6.2,42.28,29.694999999999997,3,5.096657314827794,high,0.01689139807497887,0.36046888612733463,0.010044326141808382,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=8.913e+11;coverage=6.82
NGC3109,Sm,1,70.0,1.33,1.56,6.45,4.593,8,2.566693357249182,low,0.06540589677956879,0.6587101233660431,0.02088551834387712,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=5.012e+10;coverage=4.13
NGC3198,Sc,1,73.0,13.8,3.14,44.08,30.951999999999998,7,2.1249213039614765,low,0.06898964438574658,0.5092528583230252,0.010213686176461989,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=4.467e+11;coverage=14.04
NGC3521,Sbc,1,75.0,7.7,2.4,17.74,12.570999999999996,3,6.7258970264746445,high,0.1283751224816203,0.31679228380211377,0.013657380286349425,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.122e+12;coverage=7.39
NGC3741,Im,1,70.0,3.21,0.2,7.0,4.968999999999999,5,1.1568055327846931,low,0.03355910376650527,0.7167218734283451,0.013417306371186733,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.995e+10;coverage=35.00
NGC3893,Sc,1,49.0,18.0,2.38,19.05,13.857000000000001,3,4.772103005532946,intermediate,0.0804541696511739,0.34046386668775064,0.020985483966959536,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=5.623e+11;coverage=8.00
NGC3917,Scd,1,79.0,18.0,2.63,14.86,10.662999999999998,5,6.004041130726516,high,0.044818390442356776,0.3673121915315677,0.01126649171143432,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.818e+11;coverage=5.65
NGC3953,Sbc,1,62.0,18.0,4.89,15.68,12.026,3,29.442815840633926,high,0.09749086975964334,0.10800044510114919,0.013024455546633016,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.195e+11;coverage=3.21
NGC3972,Sbc,1,77.0,18.0,2.18,8.72,6.365,3,13.421384290640967,high,0.04646020959138328,0.3458981395906684,0.01333454180192549,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=3.903e+11;coverage=4.00
NGC3992,Sbc,1,56.0,23.7,4.96,46.02,34.971000000000004,3,2.248125552533723,low,0.14552458530524356,0.4064799972835016,0.0063132385927355365,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.778e+12;coverage=9.28
NGC4088,Sbc,1,69.0,18.0,2.58,21.48,15.558000000000002,4,6.763134315444961,high,0.14594299127967825,0.11266039410281187,0.0638377299710517,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=7.079e+10;coverage=8.33
NGC4100,Sbc,1,73.0,18.0,2.15,22.76,16.715,7,2.7187892698801233,low,0.09121758691530403,0.36298953656618,0.03698957449102913,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=5.012e+11;coverage=10.59
NGC4157,Sb,1,82.0,18.0,2.32,29.61,21.249,5,3.351549299260882,intermediate,0.04439422137016384,0.3362270246430462,0.017472514725105606,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=5.623e+11;coverage=12.76
NGC4183,Scd,1,82.0,18.0,2.79,21.02,14.974999999999998,7,3.167815780330461,intermediate,0.08405487939939825,0.46775331719498336,0.01600970023603962,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.585e+11;coverage=7.53
NGC4217,Sb,1,86.0,18.0,2.94,16.72,11.964999999999998,6,3.4517424103842096,intermediate,0.060046065755064486,0.22338359975865743,0.009078042687816062,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=3.548e+11;coverage=5.69
NGC4559,Scd,1,67.0,9.0,2.1,20.97,14.879999999999997,10,5.127492860897725,high,0.1445449116850645,0.36415295591450075,0.008842677571385972,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.585e+11;coverage=9.99
NGC5033,Sc,1,66.0,15.7,5.16,44.59,31.441000000000003,6,2.2309594417492495,low,0.08370872286805582,0.4549455932749508,0.016381352039202643,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=8.913e+11;coverage=8.64
NGC5055,Sbc,1,55.0,9.9,3.2,54.59,38.429,6,1.4766556769657713,low,0.02782357603593681,0.3911260576439284,0.006431198244965461,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=5.623e+11;coverage=17.06
NGC5371,Sbc,1,53.0,39.7,7.44,46.24,32.803,5,2.1600760623000177,low,0.08571649451972688,0.16148299783618514,0.05235272290447544,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=2.512e+11;coverage=6.22
NGC5585,Sd,1,51.0,7.06,1.53,10.96,7.699,5,4.0189283199819625,intermediate,0.034059149341561665,0.5021567188306897,0.018374388472893133,1.2589254117942537e-11,0.7,SPARC_HI,M200_NFW=1.122e+11;coverage=7.16
